 P5K-E R102G        eM-Test Expert (R)     licence #50871 ASUSTEK COMPUTER INC, 

 Test Fixture Nails    1569/9020 Selected Drills           6-Jul-2007 9:48
                       1569 Nails, 2431 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$172       0.767     9.590   1  A8   (B)  #1421 L2_MDI_0-        V PIN LAN2_USB34.11
$173       0.577     9.676   2  A8   (B)  #995  U_USB2+_R        V PIN LAN2_USB34.3
$174       0.577     9.754   2  A8   (B)  #994  U_USB2-_R        V PIN LAN2_USB34.5
$175       0.710    10.405   1  A9   (B)  #1476 A_SPDIFO_R       V VIA .
$176       1.110     6.475   1  A6   (B)  #830  O_SEN_CHAFAN1_R  V PIN CHA_FAN1.1
$177       1.035     6.860   1  A6   (B)  #1838 O_SEN_CHAFAN1_R2 V VIA .
$178       1.180     6.930   2  A6   (B)  #1459 O_SEN_CHAFAN1_R3 V VIA .
$179       1.135     6.990   2  A6   (B)  #1458 SB_SEN_CHAFAN1   V VIA .
$180       0.867     7.882   1  A7   (B)  #1531 L1_MDI_2+        V PIN LAN1_USB12.14
$181       0.867     7.982   1  A7   (B)  #1533 L1_MDI_3+        V PIN LAN1_USB12.16
$182       0.867     8.082   1  A7   (B)  #1493 L1_LAN_GND       V PIN LAN1_USB12.18
$183       0.978     8.041   1  A7   (B)  #1537 L1_ACTLEDN       V PIN LAN1_USB12.21
$184       0.978     8.141   1  A7   (B)  #1444 L1_ACTLEDP       V PIN LAN1_USB12.22
$185       0.990     8.550   1  A7   (B)  #1334 +Z_12V_F1        V VIA .
$186       1.055     8.769   1  A8   (B)  #1333 +Z_12V_D1        V VIA .
$187       0.978     9.432   1  A8   (B)  #1539 L2_LINK100#      V PIN LAN2_USB34.19
$188       0.978     9.532   1  A8   (B)  #1538 L2_LINK1000#     V PIN LAN2_USB34.20
$189       0.867     9.540   1  A8   (B)  #1424 L2_MDI_0+        V PIN LAN2_USB34.10
$190       0.867     9.640   1  A8   (B)  #1420 L2_MDI_1+        V PIN LAN2_USB34.12
$191       0.767     9.690   1  A8   (B)  #1418 L2_MDI_1-        V PIN LAN2_USB34.13
$192       0.767     9.790   1  A8   (B)  #1415 L2_MDI_2-        V PIN LAN2_USB34.15
$193       0.767     9.890   1  A8   (B)  #1423 L2_MDI_3-        V PIN LAN2_USB34.17
$194       0.786    10.635   1  A9   (B)  #1477 A_SPDIFO_C       V VIA .
$195       0.746    11.296   1  A10  (B)  #120  O_KB_CLK_L       V PIN KB_USB56.13
$196       0.648    11.379   1  A10  (B)  #121  O_KB_DATA_L      V PIN KB_USB56.10
$197       0.550    11.391   2  A10  (B)  #122  U_USB4+_R        V PIN KB_USB56.2
$198       0.550    11.470   2  A10  (B)  #118  U_USB4-_R        V PIN KB_USB56.3
$199       0.648    11.564   1  A10  (B)  #116  +O_KBMS_5V_L     V PIN KB_USB56.12
$200       0.867     9.740   1  A8   (B)  #1417 L2_MDI_2+        V PIN LAN2_USB34.14
$201       0.867     9.840   1  A8   (B)  #1413 L2_MDI_3+        V PIN LAN2_USB34.16
$202       0.978     9.898   1  A8   (B)  #1540 L2_ACTLEDN       V PIN LAN2_USB34.21
$203       0.978     9.998   1  A8   (B)  #1673 L2_ACTLEDP       V PIN LAN2_USB34.22
$204       1.442    10.116   1  B9   (B)  #26   P_VCORE_LGE_20   V VIA .
$205       1.070    10.674   1  A9   (B)  #32   P_VCORE_L+12V_S  V PIN PCE117.1
$206       1.280    11.385   1  B10  (B)  #1678 O_KB_CLK_R       V VIA .
$207       1.370    11.395   1  B10  (B)  #1677 O_KB_DATA_R      V VIA .
$208       1.010    11.750   1  A10  (B)  #1578 +U_USB45_5V_F    V VIA .
$209       1.875     0.662   1  B1   (B)  #2    +5V              V PIN PCI3.68
$210       1.907     1.484   1  B2   (B)  #445  X_2X16_DET_A     V PIN PCIEX16_2.88
$211       2.183     1.563   1  B2   (B)  #720  X_WAKE#          V PIN PCIEX16_2.95
$212       2.183     1.661   1  B2   (B)  #1337 O_PCIRST#_PCIEX16 V PIN PCIEX16_2.13
$213       1.815     2.142   1  B2   (B)  #76   X_2X16_DET_R     V VIA .
$214       1.725     2.362   1  B2   (B)  #439  K_PCI2_DET_A     V PIN PCI2.65
$215       1.925     2.362   1  B2   (B)  #1342 K_INTC#          V PIN PCI2.69
$216       1.875     2.462   1  B2   (B)  #1345 K_INTB#          V PIN PCI2.8
$217       1.925     2.562   1  B3   (B)  #939  K_INTD#          V PIN PCI2.9
$218       2.370     0.190   2  B1   (B)  #849  O_RI1#_R         V VIA .
$219       2.330     0.248   2  B1   (B)  #846  O_TXD1_R         V VIA .
$220       2.390     0.285   2  B1   (B)  #844  O_RXD1_R         V VIA .
$221       2.360     0.350   2  B1   (B)  #842  O_DCD1#_R        V VIA .
$222       2.375     0.662   1  B1   (B)  #1346 C_PCI_S3         V PIN PCI3.78
$223       2.425     0.962   1  B1   (B)  #687  K_GNT#2          V PIN PCI3.19
$224       2.380     1.484   1  B2   (B)  #1595 X_2X16_TXP0_C    V PIN PCIEX16_2.98
$225       2.419     1.563   1  B2   (B)  #1596 X_2X16_TXN0_C    V PIN PCIEX16_2.99
$226       2.341     1.661   1  B2   (B)  #90   C_PCIEX16_2      V PIN PCIEX16_2.15
$227       2.380     1.740   2  B2   (B)  #89   C_PCIEX16#_2     V PIN PCIEX16_2.16
$228       2.459     1.740   2  B2   (B)  #1603 X_2X16_RXP0      V PIN PCIEX16_2.18
$229       1.975     2.262   1  B2   (B)  #1343 K_INTA#          V PIN PCI2.70
$230       2.375     2.262   1  B2   (B)  #1349 C_PCI_S2         V PIN PCI2.78
$231       2.325     2.562   1  B3   (B)  #612  PCIRST#          V PIN PCI2.17
$232       2.425     2.562   1  B3   (B)  #686  K_GNT#1          V PIN PCI2.19
$233       2.375     3.062   1  B3   (B)  #1351 C_PCI_S1         V PIN PCI1.78
$234       1.625     3.162   1  B3   (B)  #841  -12V             V PIN PCI1.63
$235       1.725     3.162   1  B3   (B)  #437  K_PCI1_DET_A     V PIN PCI1.65
$236       1.907     3.884   1  B4   (B)  #443  X_1X16_DET_A     V PIN PCIEX16_1.88
$237       1.947     3.963   1  B4   (B)  #50   S_SMBCLK_PCI     V PIN PCIEX16_1.89
$238       1.690     4.208   1  B4   (B)  #77   X_1X16_DET_R     V VIA .
$239       1.870     4.480   1  B4   (B)  #84   X_2X1_DET_C      V VIA .
$240       1.970     4.380   2  B4   (B)  #83   X_1X1_DET_C      V VIA .
$241       2.015     4.555   1  B4   (B)  #82   X_2X16_DET_C     V VIA .
$242       1.907     4.684   1  B4   (B)  #449  X_2X1_DET_A      V PIN PCIEX1_2.24
$243       1.693     4.993   1  B4   (B)  #74   X_2X1_DET_R      V VIA .
$244       1.686     5.165   1  B5   (B)  #75   X_1X1_DET_R      V VIA .
$245       1.630     5.255   1  B5   (B)  #468  N26491556        V VIA .
$246       1.855     5.270   1  B5   (B)  #469  N26491372        V VIA .
$247       1.907     5.484   1  B5   (B)  #447  X_1X1_DET_A      V PIN PCIEX1_1.24
$248       1.811     6.000   1  B5   (B)  #55   +U_USB89_5V_L    V PIN USB910_WFGBT.1
$249       1.911     6.000   1  B5   (B)  #56   U_USB8-_R        V PIN USB910_WFGBT.3
$250       1.911     6.100   1  B5   (B)  #57   U_USB9-_R        V PIN USB910_WFGBT.4
$251       1.765     6.510   1  B6   (B)  #1093 L2_EE_DATA       V VIA .
$252       1.735     6.840   1  B6   (B)  #1414 L2_ACTERMINATION3 V VIA .
$253       1.645     7.050   1  B6   (B)  #1580 +U_USB01_5V_F    V VIA .
$254       2.040     4.374   2  B4   (B)  #81   X_1X16_DET_C     V VIA .
$255       2.475     0.230   2  B1   (B)  #845  O_RTS1#_R        V VIA .
$256       2.485     0.305   2  B1   (B)  #843  O_DSR1#_R        V VIA .
$257       2.475     0.662   1  B1   (B)  #1347 K_REQ#2          V PIN PCI3.80
$258       2.616     1.484   1  C2   (B)  #1598 X_2X16_TXN1_C    V PIN PCIEX16_2.104
$259       2.577     1.563   1  C2   (B)  #1597 X_2X16_TXP1_C    V PIN PCIEX16_2.103
$260       2.498     1.661   1  B2   (B)  #1604 X_2X16_RXN0      V PIN PCIEX16_2.19
$261       2.655     1.661   1  C2   (B)  #1605 X_2X16_RXP1      V PIN PCIEX16_2.23
$262       2.695     1.740   1  C2   (B)  #1606 X_2X16_RXN1      V PIN PCIEX16_2.24
$263       2.475     2.262   1  B2   (B)  #1350 K_REQ#1          V PIN PCI2.80
$264       2.791     0.511   1  C1   (B)  #972  P_5V_USB_SW_10   V VIA .
$265       2.875     0.862   1  C1   (B)  #915  K_AD18           V PIN PCI3.28
$266       2.774     1.484   1  C2   (B)  #1600 X_2X16_TXN2_C    V PIN PCIEX16_2.108
$267       2.734     1.563   1  C2   (B)  #1599 X_2X16_TXP2_C    V PIN PCIEX16_2.107
$268       2.892     1.563   1  C2   (B)  #1601 X_2X16_TXP3_C    V PIN PCIEX16_2.111
$269       2.813     1.661   1  C2   (B)  #770  X_2X16_RXP2      V PIN PCIEX16_2.27
$270       2.852     1.740   1  C2   (B)  #769  X_2X16_RXN2      V PIN PCIEX16_2.28
$271       2.775     2.262   1  C2   (B)  #922  K_AD25           V PIN PCI2.86
$272       2.725     2.362   1  C2   (B)  #924  K_AD27           V PIN PCI2.85
$273       2.725     2.562   1  C3   (B)  #923  K_AD26           V PIN PCI2.25
$274       2.475     3.062   1  B3   (B)  #1352 K_REQ#0          V PIN PCI1.80
$275       2.575     3.062   1  C3   (B)  #928  K_AD31           V PIN PCI1.82
$276       2.625     3.162   1  C3   (B)  #926  K_AD29           V PIN PCI1.83
$277       2.575     3.262   1  C3   (B)  #927  K_AD30           V PIN PCI1.22
$278       2.425     3.362   1  B3   (B)  #737  K_GNT#0          V PIN PCI1.19
$279       2.525     3.362   1  C3   (B)  #60   K_PME#           V PIN PCI1.21
$280       2.380     3.884   1  B4   (B)  #1607 X_1X16_TXP0_C    V PIN PCIEX16_1.98
$281       2.419     3.963   1  B4   (B)  #1608 X_1X16_TXN0_C    V PIN PCIEX16_1.99
$282       2.341     4.061   1  B4   (B)  #98   C_PCIEX16_1      V PIN PCIEX16_1.15
$283       2.380     4.140   2  B4   (B)  #97   C_PCIEX16#_1     V PIN PCIEX16_1.16
$284       2.459     4.140   2  B4   (B)  #1623 X_1X16_RXP0      V PIN PCIEX16_1.18
$285       2.380     4.684   1  B4   (B)  #1339 X_2X1_TXP0_C     V PIN PCIEX1_2.34
